,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
239,0.08650341,0.008089879,4.2558494,0.032902867,0.07262027,0.017086968,0.17249312,-0.1,4.5,0.1,0.17
240,0.07237762,0.0061857454,4.303983,0.024520764,0.15466148,0.013088939,0.07876646,-0.1,4.5,0.2,0.07
241,0.08907344,0.007102154,4.274503,0.027759235,0.18250504,0.015025539,0.13010696,-0.1,4.5,0.2,0.12
242,0.07981578,0.008273372,4.2507243,0.033156812,0.15506615,0.017054783,0.1748584,-0.1,4.5,0.2,0.17
243,0.17592333,0.0044833873,2.3894374,0.017017178,-0.038914137,0.00936678,0.074579574,-0.2,2.5,0.0,0.07
244,0.17453142,0.005709907,2.3838315,0.02271026,-0.02918346,0.01211831,0.12684967,-0.2,2.5,0.0,0.12
245,0.16968861,0.0073889117,2.4196477,0.028474683,-0.045539014,0.015170695,0.17476556,-0.2,2.5,0.0,0.17
246,0.17231068,0.0044297245,2.3572137,0.0179239,0.04710157,0.009390163,0.07326331,-0.2,2.5,0.1,0.07
247,0.17466672,0.005805253,2.411238,0.022197725,0.053693898,0.011722597,0.11954566,-0.2,2.5,0.1,0.12
248,0.17998216,0.0069573605,2.410202,0.027268384,0.06965006,0.014667242,0.16499981,-0.2,2.5,0.1,0.17
249,0.17664504,0.004622061,2.3852537,0.01820507,0.16008869,0.0094418945,0.07439591,-0.2,2.5,0.2,0.07
250,0.17878567,0.0058463165,2.3988895,0.02279272,0.16025086,0.012100777,0.122223265,-0.2,2.5,0.2,0.12
251,0.18956669,0.007222138,2.3407373,0.027146513,0.18213046,0.015063432,0.16964042,-0.2,2.5,0.2,0.17
252,0.12311975,0.004363097,2.3811395,0.01734056,-0.04477855,0.009024413,0.0745608,-0.15,2.5,0.0,0.07
253,0.13571157,0.005696558,2.3773007,0.022222161,-0.026173696,0.012063889,0.1267449,-0.15,2.5,0.0,0.12
254,0.13015342,0.0070143174,2.3252237,0.02701787,-0.04324675,0.0145554645,0.17036982,-0.15,2.5,0.0,0.17
255,0.12881055,0.0043831426,2.374476,0.016728068,0.059748236,0.008988265,0.06906374,-0.15,2.5,0.1,0.07
256,0.11918851,0.0063058618,2.3861191,0.024514144,0.04419816,0.012906938,0.12400259,-0.15,2.5,0.1,0.12
257,0.13117489,0.007141828,2.380217,0.0290891,0.06933926,0.01494642,0.17222594,-0.15,2.5,0.1,0.17
258,0.13597178,0.00423093,2.3982248,0.016315911,0.17209996,0.008914941,0.06982792,-0.15,2.5,0.2,0.07
259,0.1286529,0.005579487,2.3421252,0.024588102,0.14409444,0.011592497,0.123385094,-0.15,2.5,0.2,0.12
260,0.12371489,0.0069521368,2.398263,0.027337968,0.141474,0.014440777,0.16755517,-0.15,2.5,0.2,0.17
261,0.0839254,0.0042422833,2.3779652,0.016960481,-0.025955198,0.009081048,0.075006016,-0.1,2.5,0.0,0.07
262,0.08812487,0.0054443763,2.3531501,0.021248665,-0.027605984,0.011478606,0.119195595,-0.1,2.5,0.0,0.12
263,0.09073976,0.006912974,2.3346455,0.027042242,-0.02911133,0.014807335,0.17397888,-0.1,2.5,0.0,0.17
264,0.09249469,0.004398426,2.404746,0.017553799,0.0838677,0.009106389,0.07103222,-0.1,2.5,0.1,0.07
265,0.087373674,0.0054248776,2.4109585,0.021786697,0.07205212,0.011479985,0.1212813,-0.1,2.5,0.1,0.12
266,0.08536049,0.0071718115,2.3528504,0.027849693,0.10239812,0.0147132985,0.17112075,-0.1,2.5,0.1,0.17
267,0.088335335,0.0042609214,2.3797915,0.016361097,0.18625893,0.008803539,0.07015676,-0.1,2.5,0.2,0.07
268,0.095677294,0.0053803744,2.4017742,0.022173112,0.17964682,0.011102007,0.11805183,-0.1,2.5,0.2,0.12
269,0.08228995,0.0068623815,2.3364034,0.027247027,0.1748407,0.014368327,0.16946802,-0.1,2.5,0.2,0.17
