,ztfname
1711,ZTF19actldas
1714,ZTF19acuybzx
1715,ZTF19acvgjme
1718,ZTF19acwiqrc
1720,ZTF19acwrqtv
1721,ZTF19acwrujg
1723,ZTF19acxhkvc
1724,ZTF19acxmiyh
1725,ZTF19acxndsk
1727,ZTF19acxowwt
1731,ZTF19acxyfkf
1732,ZTF19acxysob
1734,ZTF19acxyumq
1738,ZTF19acyfakk
1739,ZTF19acyfkbf
1743,ZTF19acygjmg
1744,ZTF19acyiqnw
1747,ZTF19acykjcw
1749,ZTF19acyksfd
1751,ZTF19acylgic
1752,ZTF19acyltbi
1755,ZTF19acymzwh
1758,ZTF19acyogvo
1761,ZTF19acyqwlm
1762,ZTF19acytcoi
1763,ZTF19acytidb
1764,ZTF19aczeomw
1776,ZTF19adbnfne
1777,ZTF19adbnlki
1778,ZTF19adbpulv
1781,ZTF19adbsfpf
1793,ZTF20aaactgu
1798,ZTF20aaaxacu
1805,ZTF20aabcouv
1806,ZTF20aabqamf
1810,ZTF20aabqisb
1811,ZTF20aabqiti
1813,ZTF20aabrydh
1815,ZTF20aaccmjn
1816,ZTF20aacdfep
1817,ZTF20aacevxq
1818,ZTF20aacexgb
1823,ZTF20aadfyjl
1829,ZTF20aadyukn
1830,ZTF20aaeopvv
1831,ZTF20aaepsqa
1834,ZTF20aaerxsd
1836,ZTF20aaesewy
1837,ZTF20aaeswym
1841,ZTF20aaeuxqk
1849,ZTF20aafcjln
1852,ZTF20aafdeza
1855,ZTF20aaffgwg
1856,ZTF20aafgbrf
1857,ZTF20aafjjqj
1862,ZTF20aafsnpp
1864,ZTF20aafvzhu
1871,ZTF20aagfjlj
1875,ZTF20aaghryk
1878,ZTF20aagnbpw
1879,ZTF20aagryod
1880,ZTF20aagvvnr
1883,ZTF20aagyuvy
1884,ZTF20aagzchj
1890,ZTF20aahdwze
1891,ZTF20aahfobk
1897,ZTF20aahirkk
1900,ZTF20aahkgcz
1903,ZTF20aahpwym
1904,ZTF20aahpxzz
1905,ZTF20aahqbib
1910,ZTF20aahujpd
1914,ZTF20aaiawlj
1918,ZTF20aaifyab
1919,ZTF20aaifyrs
1920,ZTF20aaifyvz
1933,ZTF20aakodiq
1935,ZTF20aakyoez
1936,ZTF20aalbjpf
1937,ZTF20aalbjqh
1940,ZTF20aalkfui
1941,ZTF20aalmeaj
1943,ZTF20aalrksw
1944,ZTF20aalrptc
1948,ZTF20aamdhut
1961,ZTF20aamkyyx
1969,ZTF20aamqxyi
1970,ZTF20aamsjws
1972,ZTF20aamttni
