,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
26,0.10010653,0.008644329,2.5280254,0.03503566,0.20590164,0.018746676,0.16737486,-0.1,2.5,0.2,0.17
27,0.1955379,0.004064009,3.4561336,0.0167896,-0.009871472,0.008304321,0.06786066,-0.2,3.5,0.0,0.07
28,0.1916844,0.0064012106,3.5176802,0.027714975,-0.012718616,0.013728595,0.12532817,-0.2,3.5,0.0,0.12
29,0.19660008,0.00921741,3.4709206,0.034682073,-0.0021549126,0.01877002,0.17163253,-0.2,3.5,0.0,0.17
30,0.20018579,0.004193006,3.5108883,0.016968388,0.112298116,0.008873097,0.07446347,-0.2,3.5,0.1,0.07
31,0.21426967,0.0066451756,3.5030017,0.02491995,0.12649737,0.014223834,0.12135264,-0.2,3.5,0.1,0.12
32,0.18832976,0.008952834,3.466424,0.03450311,0.07891303,0.019639978,0.16789506,-0.2,3.5,0.1,0.17
33,0.20511943,0.004303462,3.5235355,0.01795286,0.21418929,0.009437978,0.07189628,-0.2,3.5,0.2,0.07
34,0.1989481,0.007117601,3.4762177,0.026032647,0.18584272,0.014467862,0.12777832,-0.2,3.5,0.2,0.12
35,0.19497848,0.008313089,3.4225214,0.038495354,0.18867086,0.018569646,0.17801441,-0.2,3.5,0.2,0.17
36,0.15886672,0.0043940665,3.4683034,0.015587768,0.013271637,0.009099619,0.07187862,-0.15,3.5,0.0,0.07
37,0.164827,0.006554715,3.4740944,0.0285958,0.011708456,0.013794897,0.12385428,-0.15,3.5,0.0,0.12
38,0.1552612,0.008519588,3.508164,0.035489433,0.010814965,0.017671691,0.16823348,-0.15,3.5,0.0,0.17
39,0.14677128,0.0037396948,3.5126884,0.017318426,0.09759011,0.007905422,0.07188381,-0.15,3.5,0.1,0.07
40,0.14875828,0.006445143,3.5213563,0.026808294,0.086269364,0.013027526,0.12333803,-0.15,3.5,0.1,0.12
41,0.14469367,0.008960233,3.5082862,0.034805547,0.0902566,0.018779803,0.17815179,-0.15,3.5,0.1,0.17
42,0.1581697,0.0042428668,3.5030553,0.016795099,0.22110423,0.008669217,0.0703762,-0.15,3.5,0.2,0.07
43,0.14902472,0.0062222886,3.5188751,0.02608783,0.18921211,0.013121955,0.12333921,-0.15,3.5,0.2,0.12
44,0.14800736,0.008528157,3.472682,0.037020337,0.20818195,0.017856527,0.17283289,-0.15,3.5,0.2,0.17
45,0.10127425,0.0041889097,3.5093143,0.018523902,4.57551e-05,0.0088898325,0.07591025,-0.1,3.5,0.0,0.07
46,0.09287041,0.0067542936,3.484052,0.025828088,-0.014484128,0.014471867,0.121335715,-0.1,3.5,0.0,0.12
47,0.07949849,0.00838106,3.478593,0.034976512,-0.033259034,0.016567376,0.16616634,-0.1,3.5,0.0,0.17
48,0.1099852,0.004310595,3.5162683,0.016953744,0.12181155,0.0093603125,0.07037445,-0.1,3.5,0.1,0.07
49,0.104370035,0.006502456,3.534518,0.026177356,0.10718847,0.014013706,0.12531433,-0.1,3.5,0.1,0.12
50,0.09470292,0.009233377,3.5070686,0.033956673,0.09050908,0.019193167,0.17302887,-0.1,3.5,0.1,0.17
51,0.10724409,0.004315053,3.5107932,0.015753247,0.21179652,0.009088008,0.06377022,-0.1,3.5,0.2,0.07
52,0.110651895,0.0068307,3.4882631,0.028133428,0.22155972,0.014580475,0.12580267,-0.1,3.5,0.2,0.12
53,0.10403932,0.008638947,3.4991152,0.034877136,0.21322271,0.018402768,0.1713951,-0.1,3.5,0.2,0.17
54,0.20186119,0.0040997006,4.5329957,0.016112436,0.017652161,0.008286448,0.07201927,-0.2,4.5,0.0,0.07
55,0.1886126,0.0061449846,4.51555,0.026566979,-0.013673769,0.012659219,0.123404995,-0.2,4.5,0.0,0.12
56,0.19663069,0.008485234,4.466158,0.034872532,-0.015324964,0.017358445,0.16802566,-0.2,4.5,0.0,0.17
57,0.20431075,0.004180214,4.501794,0.017541908,0.11177309,0.008870148,0.06803835,-0.2,4.5,0.1,0.07
58,0.20422246,0.0063350922,4.504135,0.025877599,0.105729766,0.012745723,0.12340321,-0.2,4.5,0.1,0.12
59,0.19468297,0.009398096,4.4838486,0.043244388,0.093899176,0.01931994,0.17666985,-0.2,4.5,0.1,0.17
60,0.1983453,0.0044077123,4.4843097,0.01742493,0.19273466,0.008915163,0.06803098,-0.2,4.5,0.2,0.07
61,0.20710517,0.0057824263,4.477686,0.02383679,0.20415494,0.012804297,0.11199387,-0.2,4.5,0.2,0.12
62,0.20273682,0.00838668,4.494929,0.03450371,0.19150369,0.018201487,0.16952689,-0.2,4.5,0.2,0.17
63,0.1589646,0.003942521,4.507648,0.01788883,0.0043525533,0.008366155,0.06802319,-0.15,4.5,0.0,0.07
64,0.13890325,0.0067297476,4.5563946,0.029129097,-0.015808646,0.013854457,0.119370334,-0.15,4.5,0.0,0.12
65,0.14654543,0.009474223,4.4851794,0.035204686,-0.022918265,0.02083656,0.17295463,-0.15,4.5,0.0,0.17
66,0.15417105,0.003909095,4.4831405,0.017143205,0.10147345,0.007852078,0.068021,-0.15,4.5,0.1,0.07
67,0.15124577,0.006331373,4.4920278,0.02504835,0.11631714,0.012982048,0.11996532,-0.15,4.5,0.1,0.12
68,0.14264295,0.00933908,4.475002,0.03414265,0.094149016,0.019668432,0.16935287,-0.15,4.5,0.1,0.17
69,0.14253603,0.004330454,4.430335,0.01714324,0.18593004,0.009054256,0.06801385,-0.15,4.5,0.2,0.07
70,0.13821907,0.0066915415,4.486238,0.028163096,0.18037431,0.014442943,0.12739587,-0.15,4.5,0.2,0.12
71,0.16603823,0.00933971,4.524517,0.0366979,0.2179867,0.019394184,0.17489114,-0.15,4.5,0.2,0.17
72,0.08638762,0.0042939526,4.521543,0.016507136,-0.018834641,0.008935574,0.07452478,-0.1,4.5,0.0,0.07
73,0.10059544,0.005828625,4.5051627,0.02426256,0.0008577155,0.012467193,0.11936535,-0.1,4.5,0.0,0.12
74,0.09991308,0.008578702,4.492865,0.03295393,0.0043883394,0.018347876,0.1696888,-0.1,4.5,0.0,0.17
75,0.1036672,0.0039214934,4.4939895,0.014655636,0.097226106,0.008102023,0.06403941,-0.1,4.5,0.1,0.07
76,0.09685572,0.0064634234,4.4848437,0.027679604,0.07412722,0.013265664,0.11797319,-0.1,4.5,0.1,0.12
77,0.10626037,0.00865315,4.4846096,0.036195494,0.102738306,0.018200988,0.16932772,-0.1,4.5,0.1,0.17
78,0.101018846,0.0037714122,4.494952,0.014060675,0.20285273,0.007806143,0.056160722,-0.1,4.5,0.2,0.07
79,0.11556623,0.0061450065,4.555174,0.02414676,0.2284785,0.013087072,0.11797473,-0.1,4.5,0.2,0.12
80,0.105237186,0.009516966,4.448693,0.037647236,0.19663711,0.019305324,0.17280525,-0.1,4.5,0.2,0.17
